Simulation mode: False
CELL COUNT: 15883
CELL COUNT: 15948
CELL COUNT: 16003
CELL COUNT: 16003
CELL COUNT: 16052
CELL COUNT: 16106
CELL COUNT: 16106
CELL COUNT: 16177
CELL COUNT: 16235
CELL COUNT: 16235
CELL COUNT: 16303
CELL COUNT: 16303
CELL COUNT: 16384
CELL COUNT: 16467
CELL COUNT: 16542
CELL COUNT: 16542
CELL COUNT: 16599
CELL COUNT: 16638
CELL COUNT: 16638
CELL COUNT: 16698
CELL COUNT: 16770
CELL COUNT: 16770
CELL COUNT: 16856
CELL COUNT: 16931
CELL COUNT: 16931
CELL COUNT: 16998
CELL COUNT: 17060
CELL COUNT: 17060
CELL COUNT: 17123
CELL COUNT: 17189
CELL COUNT: 17189
CELL COUNT: 17263
CELL COUNT: 17319
CELL COUNT: 17319
CELL COUNT: 17369
CELL COUNT: 17369
CELL COUNT: 17428
CELL COUNT: 17510
CELL COUNT: 17593
CELL COUNT: 17593
CELL COUNT: 17660
CELL COUNT: 17660
CELL COUNT: 17712
CELL COUNT: 17712
CELL COUNT: 17776
CELL COUNT: 17846
CELL COUNT: 17932
CELL COUNT: 17932
CELL COUNT: 18021
CELL COUNT: 18021
CELL COUNT: 18098
CELL COUNT: 18169
CELL COUNT: 18169
CELL COUNT: 18235
CELL COUNT: 18287
CELL COUNT: 18287
CELL COUNT: 18357
CELL COUNT: 18440
CELL COUNT: 18500
CELL COUNT: 18500
CELL COUNT: 18574
CELL COUNT: 18574
CELL COUNT: 18646
CELL COUNT: 18718
CELL COUNT: 18718
CELL COUNT: 18799
CELL COUNT: 18799
CELL COUNT: 18799
CELL COUNT: 19031
CELL COUNT: 19031
CELL COUNT: 19094
CELL COUNT: 19167
CELL COUNT: 19167
CELL COUNT: 19236
CELL COUNT: 19306
CELL COUNT: 19306
CELL COUNT: 19378
CELL COUNT: 19447
CELL COUNT: 19447
CELL COUNT: 19511
CELL COUNT: 19574
CELL COUNT: 19574
CELL COUNT: 19631
CELL COUNT: 19702
CELL COUNT: 19702
CELL COUNT: 19754
CELL COUNT: 19814
CELL COUNT: 19814
CELL COUNT: 19876
CELL COUNT: 19939
CELL COUNT: 19939
CELL COUNT: 19995
CELL COUNT: 20060
CELL COUNT: 20060
CELL COUNT: 20130
CELL COUNT: 20214
CELL COUNT: 20214
CELL COUNT: 20285
CELL COUNT: 20285
CELL COUNT: 20352
CELL COUNT: 20417
CELL COUNT: 20417
